Date,Source,value
1950/01/01,CRU,NA
1950/02/01,CRU,NA
1950/03/01,CRU,NA
1950/04/01,CRU,NA
1950/05/01,CRU,NA
1950/06/01,CRU,NA
1950/07/01,CRU,NA
1950/08/01,CRU,NA
1950/09/01,CRU,NA
1950/10/01,CRU,NA
1950/11/01,CRU,NA
1950/12/01,CRU,NA
1951/01/01,CRU,NA
1951/02/01,CRU,NA
1951/03/01,CRU,NA
1951/04/01,CRU,NA
1951/05/01,CRU,NA
1951/06/01,CRU,NA
1951/07/01,CRU,NA
1951/08/01,CRU,NA
1951/09/01,CRU,NA
1951/10/01,CRU,NA
1951/11/01,CRU,NA
1951/12/01,CRU,NA
1952/01/01,CRU,NA
1952/02/01,CRU,NA
1952/03/01,CRU,NA
1952/04/01,CRU,NA
1952/05/01,CRU,NA
1952/06/01,CRU,NA
1952/07/01,CRU,NA
1952/08/01,CRU,NA
1952/09/01,CRU,NA
1952/10/01,CRU,NA
1952/11/01,CRU,NA
1952/12/01,CRU,NA
1953/01/01,CRU,NA
1953/02/01,CRU,NA
1953/03/01,CRU,NA
1953/04/01,CRU,NA
1953/05/01,CRU,NA
1953/06/01,CRU,NA
1953/07/01,CRU,NA
1953/08/01,CRU,NA
1953/09/01,CRU,NA
1953/10/01,CRU,NA
1953/11/01,CRU,NA
1953/12/01,CRU,NA
1954/01/01,CRU,NA
1954/02/01,CRU,NA
1954/03/01,CRU,NA
1954/04/01,CRU,NA
1954/05/01,CRU,NA
1954/06/01,CRU,NA
1954/07/01,CRU,NA
1954/08/01,CRU,NA
1954/09/01,CRU,NA
1954/10/01,CRU,NA
1954/11/01,CRU,NA
1954/12/01,CRU,NA
1955/01/01,CRU,NA
1955/02/01,CRU,NA
1955/03/01,CRU,NA
1955/04/01,CRU,NA
1955/05/01,CRU,NA
1955/06/01,CRU,NA
1955/07/01,CRU,NA
1955/08/01,CRU,NA
1955/09/01,CRU,NA
1955/10/01,CRU,NA
1955/11/01,CRU,NA
1955/12/01,CRU,NA
1956/01/01,CRU,NA
1956/02/01,CRU,NA
1956/03/01,CRU,NA
1956/04/01,CRU,NA
1956/05/01,CRU,NA
1956/06/01,CRU,NA
1956/07/01,CRU,NA
1956/08/01,CRU,NA
1956/09/01,CRU,NA
1956/10/01,CRU,NA
1956/11/01,CRU,NA
1956/12/01,CRU,NA
1957/01/01,CRU,NA
1957/02/01,CRU,NA
1957/03/01,CRU,NA
1957/04/01,CRU,NA
1957/05/01,CRU,NA
1957/06/01,CRU,NA
1957/07/01,CRU,NA
1957/08/01,CRU,NA
1957/09/01,CRU,NA
1957/10/01,CRU,NA
1957/11/01,CRU,NA
1957/12/01,CRU,NA
1958/01/01,CRU,NA
1958/02/01,CRU,NA
1958/03/01,CRU,NA
1958/04/01,CRU,NA
1958/05/01,CRU,NA
1958/06/01,CRU,NA
1958/07/01,CRU,NA
1958/08/01,CRU,NA
1958/09/01,CRU,NA
1958/10/01,CRU,NA
1958/11/01,CRU,NA
1958/12/01,CRU,NA
1959/01/01,CRU,NA
1959/02/01,CRU,NA
1959/03/01,CRU,NA
1959/04/01,CRU,NA
1959/05/01,CRU,NA
1959/06/01,CRU,NA
1959/07/01,CRU,NA
1959/08/01,CRU,NA
1959/09/01,CRU,NA
1959/10/01,CRU,NA
1959/11/01,CRU,NA
1959/12/01,CRU,NA
1960/01/01,CRU,NA
1960/02/01,CRU,NA
1960/03/01,CRU,NA
1960/04/01,CRU,NA
1960/05/01,CRU,NA
1960/06/01,CRU,NA
1960/07/01,CRU,NA
1960/08/01,CRU,NA
1960/09/01,CRU,NA
1960/10/01,CRU,NA
1960/11/01,CRU,NA
1960/12/01,CRU,NA
1961/01/01,CRU,0.6
1961/02/01,CRU,100.7
1961/03/01,CRU,10.2
1961/04/01,CRU,141
1961/05/01,CRU,65.2
1961/06/01,CRU,84.1
1961/07/01,CRU,302.9
1961/08/01,CRU,44
1961/09/01,CRU,278.2
1961/10/01,CRU,210.3
1961/11/01,CRU,251.8
1961/12/01,CRU,147.8
1962/01/01,CRU,43
1962/02/01,CRU,16.7
1962/03/01,CRU,124.8
1962/04/01,CRU,37.3
1962/05/01,CRU,214.6
1962/06/01,CRU,35
1962/07/01,CRU,40.1
1962/08/01,CRU,52.2
1962/09/01,CRU,16.1
1962/10/01,CRU,2.4
1962/11/01,CRU,25
1962/12/01,CRU,60.1
1963/01/01,CRU,17.4
1963/02/01,CRU,5.3
1963/03/01,CRU,69.1
1963/04/01,CRU,288.6
1963/05/01,CRU,209.7
1963/06/01,CRU,219.1
1963/07/01,CRU,77.3
1963/08/01,CRU,39.1
1963/09/01,CRU,45.6
1963/10/01,CRU,65.3
1963/11/01,CRU,87.4
1963/12/01,CRU,70.5
1964/01/01,CRU,60.3
1964/02/01,CRU,8
1964/03/01,CRU,20.1
1964/04/01,CRU,159.7
1964/05/01,CRU,281.5
1964/06/01,CRU,81.5
1964/07/01,CRU,39.9
1964/08/01,CRU,38.9
1964/09/01,CRU,39.1
1964/10/01,CRU,29.6
1964/11/01,CRU,4.8
1964/12/01,CRU,165.4
1965/01/01,CRU,28.4
1965/02/01,CRU,0
1965/03/01,CRU,7.8
1965/04/01,CRU,51.5
1965/05/01,CRU,252.7
1965/06/01,CRU,86.8
1965/07/01,CRU,22.8
1965/08/01,CRU,51.7
1965/09/01,CRU,44.7
1965/10/01,CRU,101.3
1965/11/01,CRU,130
1965/12/01,CRU,16.3
1966/01/01,CRU,73.9
1966/02/01,CRU,9
1966/03/01,CRU,56.3
1966/04/01,CRU,210.1
1966/05/01,CRU,214.3
1966/06/01,CRU,175.7
1966/07/01,CRU,29.8
1966/08/01,CRU,74.5
1966/09/01,CRU,23.6
1966/10/01,CRU,59.1
1966/11/01,CRU,210.7
1966/12/01,CRU,31.1
1967/01/01,CRU,0.6
1967/02/01,CRU,7.2
1967/03/01,CRU,7.4
1967/04/01,CRU,231.8
1967/05/01,CRU,186.3
1967/06/01,CRU,113.5
1967/07/01,CRU,101.1
1967/08/01,CRU,167.5
1967/09/01,CRU,226.4
1967/10/01,CRU,228.9
1967/11/01,CRU,162.3
1967/12/01,CRU,2.7
1968/01/01,CRU,0
1968/02/01,CRU,25.4
1968/03/01,CRU,154
1968/04/01,CRU,264.7
1968/05/01,CRU,319.3
1968/06/01,CRU,373.7
1968/07/01,CRU,88.9
1968/08/01,CRU,30.3
1968/09/01,CRU,53.2
1968/10/01,CRU,32.5
1968/11/01,CRU,177.9
1968/12/01,CRU,66
1969/01/01,CRU,7.4
1969/02/01,CRU,25.3
1969/03/01,CRU,34.7
1969/04/01,CRU,31.5
1969/05/01,CRU,171.9
1969/06/01,CRU,73.1
1969/07/01,CRU,53.3
1969/08/01,CRU,81
1969/09/01,CRU,17.5
1969/10/01,CRU,100.2
1969/11/01,CRU,105.2
1969/12/01,CRU,10.4
1970/01/01,CRU,34.2
1970/02/01,CRU,0
1970/03/01,CRU,111.3
1970/04/01,CRU,151.4
1970/05/01,CRU,251.4
1970/06/01,CRU,31.2
1970/07/01,CRU,73.1
1970/08/01,CRU,36
1970/09/01,CRU,13.2
1970/10/01,CRU,5.1
1970/11/01,CRU,10.6
1970/12/01,CRU,34.9
1971/01/01,CRU,0.2
1971/02/01,CRU,0
1971/03/01,CRU,47.5
1971/04/01,CRU,104.3
1971/05/01,CRU,224.4
1971/06/01,CRU,236.7
1971/07/01,CRU,100.1
1971/08/01,CRU,15.3
1971/09/01,CRU,47.6
1971/10/01,CRU,12.9
1971/11/01,CRU,30.5
1971/12/01,CRU,7.9
1972/01/01,CRU,34.5
1972/02/01,CRU,12.7
1972/03/01,CRU,14.1
1972/04/01,CRU,55
1972/05/01,CRU,303.1
1972/06/01,CRU,8.6
1972/07/01,CRU,100.7
1972/08/01,CRU,41.1
1972/09/01,CRU,121.3
1972/10/01,CRU,131.1
1972/11/01,CRU,135.2
1972/12/01,CRU,117.6
1973/01/01,CRU,3.2
1973/02/01,CRU,7.4
1973/03/01,CRU,28.2
1973/04/01,CRU,197.8
1973/05/01,CRU,242.5
1973/06/01,CRU,165.1
1973/07/01,CRU,10.4
1973/08/01,CRU,72.4
1973/09/01,CRU,13.6
1973/10/01,CRU,57.1
1973/11/01,CRU,76
1973/12/01,CRU,7.4
1974/01/01,CRU,4.8
1974/02/01,CRU,0.5
1974/03/01,CRU,4.5
1974/04/01,CRU,150.2
1974/05/01,CRU,97.2
1974/06/01,CRU,106
1974/07/01,CRU,210.8
1974/08/01,CRU,17.5
1974/09/01,CRU,1.3
1974/10/01,CRU,10.9
1974/11/01,CRU,14.4
1974/12/01,CRU,5.7
1975/01/01,CRU,0.7
1975/02/01,CRU,0.9
1975/03/01,CRU,13.7
1975/04/01,CRU,102.9
1975/05/01,CRU,242.2
1975/06/01,CRU,115.5
1975/07/01,CRU,101.5
1975/08/01,CRU,15.3
1975/09/01,CRU,33
1975/10/01,CRU,16.9
1975/11/01,CRU,28
1975/12/01,CRU,23.9
1976/01/01,CRU,8.4
1976/02/01,CRU,0.5
1976/03/01,CRU,14.2
1976/04/01,CRU,132.6
1976/05/01,CRU,249.3
1976/06/01,CRU,74
1976/07/01,CRU,77.7
1976/08/01,CRU,35.9
1976/09/01,CRU,184.5
1976/10/01,CRU,6.6
1976/11/01,CRU,62.1
1976/12/01,CRU,4
1977/01/01,CRU,5.7
1977/02/01,CRU,5.5
1977/03/01,CRU,14.1
1977/04/01,CRU,134.8
1977/05/01,CRU,91.6
1977/06/01,CRU,145.1
1977/07/01,CRU,13.6
1977/08/01,CRU,99.5
1977/09/01,CRU,53.6
1977/10/01,CRU,178.1
1977/11/01,CRU,117.7
1977/12/01,CRU,74.5
1978/01/01,CRU,26.2
1978/02/01,CRU,10
1978/03/01,CRU,164.8
1978/04/01,CRU,162.4
1978/05/01,CRU,299.3
1978/06/01,CRU,64.4
1978/07/01,CRU,39
1978/08/01,CRU,20.4
1978/09/01,CRU,11.8
1978/10/01,CRU,43.4
1978/11/01,CRU,197.6
1978/12/01,CRU,148
1979/01/01,CRU,110.8
1979/02/01,CRU,27.6
1979/03/01,CRU,71.5
1979/04/01,CRU,108.4
1979/05/01,CRU,385.5
1979/06/01,CRU,218.6
1979/07/01,CRU,156.7
1979/08/01,CRU,22.8
1979/09/01,CRU,48.7
1979/10/01,CRU,13.9
1979/11/01,CRU,45.3
1979/12/01,CRU,76.2
1980/01/01,CRU,5.8
1980/02/01,CRU,12.5
1980/03/01,CRU,12.6
1980/04/01,CRU,38.1
1980/05/01,CRU,51.8
1980/06/01,CRU,67.5
1980/07/01,CRU,91.5
1980/08/01,CRU,191.4
1980/09/01,CRU,37.7
1980/10/01,CRU,8.8
1980/11/01,CRU,159.1
1980/12/01,CRU,80.9
1981/01/01,CRU,12.6
1981/02/01,CRU,0.1
1981/03/01,CRU,171.5
1981/04/01,CRU,84.4
1981/05/01,CRU,178.5
1981/06/01,CRU,75.5
1981/07/01,CRU,55
1981/08/01,CRU,57.7
1981/09/01,CRU,54.1
1981/10/01,CRU,52.5
1981/11/01,CRU,41.6
1981/12/01,CRU,47.6
1982/01/01,CRU,4.7
1982/02/01,CRU,0
1982/03/01,CRU,93.2
1982/04/01,CRU,148.6
1982/05/01,CRU,397.4
1982/06/01,CRU,143.3
1982/07/01,CRU,156.8
1982/08/01,CRU,35.9
1982/09/01,CRU,85.4
1982/10/01,CRU,243.6
1982/11/01,CRU,120.1
1982/12/01,CRU,126.3
1983/01/01,CRU,2.5
1983/02/01,CRU,23.4
1983/03/01,CRU,19.4
1983/04/01,CRU,94.3
1983/05/01,CRU,347.1
1983/06/01,CRU,139.9
1983/07/01,CRU,112.3
1983/08/01,CRU,24.3
1983/09/01,CRU,67.4
1983/10/01,CRU,25.7
1983/11/01,CRU,18.5
1983/12/01,CRU,39
1984/01/01,CRU,2.2
1984/02/01,CRU,0.1
1984/03/01,CRU,14.6
1984/04/01,CRU,177.2
1984/05/01,CRU,192.1
1984/06/01,CRU,214.5
1984/07/01,CRU,138.5
1984/08/01,CRU,16
1984/09/01,CRU,33.8
1984/10/01,CRU,86.6
1984/11/01,CRU,95.9
1984/12/01,CRU,46.9
1985/01/01,CRU,4.5
1985/02/01,CRU,32.3
1985/03/01,CRU,34.8
1985/04/01,CRU,158.6
1985/05/01,CRU,200
1985/06/01,CRU,35.1
1985/07/01,CRU,81.7
1985/08/01,CRU,62.6
1985/09/01,CRU,33.6
1985/10/01,CRU,27.2
1985/11/01,CRU,32
1985/12/01,CRU,24.5
1986/01/01,CRU,17.5
1986/02/01,CRU,0
1986/03/01,CRU,31
1986/04/01,CRU,165.1
1986/05/01,CRU,555.4
1986/06/01,CRU,25.6
1986/07/01,CRU,25.1
1986/08/01,CRU,48.5
1986/09/01,CRU,24.7
1986/10/01,CRU,20.2
1986/11/01,CRU,63.8
1986/12/01,CRU,33.7
1987/01/01,CRU,12.9
1987/02/01,CRU,3.6
1987/03/01,CRU,0.9
1987/04/01,CRU,168
1987/05/01,CRU,248.6
1987/06/01,CRU,73.2
1987/07/01,CRU,160.5
1987/08/01,CRU,188.3
1987/09/01,CRU,17
1987/10/01,CRU,20.1
1987/11/01,CRU,29.3
1987/12/01,CRU,12.2
1988/01/01,CRU,17.9
1988/02/01,CRU,6.3
1988/03/01,CRU,54.4
1988/04/01,CRU,99.8
1988/05/01,CRU,67.5
1988/06/01,CRU,156
1988/07/01,CRU,22.4
1988/08/01,CRU,45.9
1988/09/01,CRU,72.4
1988/10/01,CRU,38.1
1988/11/01,CRU,98.2
1988/12/01,CRU,82.4
1989/01/01,CRU,12.8
1989/02/01,CRU,0.6
1989/03/01,CRU,15.1
1989/04/01,CRU,163.1
1989/05/01,CRU,127.2
1989/06/01,CRU,133.1
1989/07/01,CRU,76.1
1989/08/01,CRU,41.6
1989/09/01,CRU,30.7
1989/10/01,CRU,65
1989/11/01,CRU,152.1
1989/12/01,CRU,43.3
1990/01/01,CRU,16.4
1990/02/01,CRU,42.7
1990/03/01,CRU,130.7
1990/04/01,CRU,154
1990/05/01,CRU,137.1
1990/06/01,CRU,41.1
1990/07/01,CRU,20
1990/08/01,CRU,9.8
1990/09/01,CRU,66.8
1990/10/01,CRU,116.3
1990/11/01,CRU,46.2
1990/12/01,CRU,75
1991/01/01,CRU,3.7
1991/02/01,CRU,8.7
1991/03/01,CRU,49.3
1991/04/01,CRU,105.7
1991/05/01,CRU,377.2
1991/06/01,CRU,77.8
1991/07/01,CRU,177.5
1991/08/01,CRU,65.9
1991/09/01,CRU,18.4
1991/10/01,CRU,16.6
1991/11/01,CRU,13
1991/12/01,CRU,31
1992/01/01,CRU,1.8
1992/02/01,CRU,8.3
1992/03/01,CRU,6.5
1992/04/01,CRU,87
1992/05/01,CRU,196.7
1992/06/01,CRU,90
1992/07/01,CRU,95.2
1992/08/01,CRU,28.9
1992/09/01,CRU,34.3
1992/10/01,CRU,18.5
1992/11/01,CRU,64
1992/12/01,CRU,103.3
1993/01/01,CRU,36
1993/02/01,CRU,3.8
1993/03/01,CRU,30
1993/04/01,CRU,107.8
1993/05/01,CRU,128.7
1993/06/01,CRU,219.2
1993/07/01,CRU,42.8
1993/08/01,CRU,35.3
1993/09/01,CRU,18.2
1993/10/01,CRU,41.6
1993/11/01,CRU,41.7
1993/12/01,CRU,82.1
1994/01/01,CRU,1.7
1994/02/01,CRU,4.6
1994/03/01,CRU,16.4
1994/04/01,CRU,170
1994/05/01,CRU,358.5
1994/06/01,CRU,34.5
1994/07/01,CRU,155.1
1994/08/01,CRU,45.2
1994/09/01,CRU,101.6
1994/10/01,CRU,76
1994/11/01,CRU,157.3
1994/12/01,CRU,94.4
1995/01/01,CRU,9
1995/02/01,CRU,5.5
1995/03/01,CRU,33.9
1995/04/01,CRU,101.1
1995/05/01,CRU,155.7
1995/06/01,CRU,7.4
1995/07/01,CRU,67.2
1995/08/01,CRU,57.1
1995/09/01,CRU,19.5
1995/10/01,CRU,64.3
1995/11/01,CRU,112.5
1995/12/01,CRU,80.2
1996/01/01,CRU,4.5
1996/02/01,CRU,38.4
1996/03/01,CRU,65.8
1996/04/01,CRU,136.3
1996/05/01,CRU,299.5
1996/06/01,CRU,46
1996/07/01,CRU,67.1
1996/08/01,CRU,11.9
1996/09/01,CRU,30.8
1996/10/01,CRU,5.9
1996/11/01,CRU,60.2
1996/12/01,CRU,5.6
1997/01/01,CRU,0.1
1997/02/01,CRU,0
1997/03/01,CRU,26.4
1997/04/01,CRU,221
1997/05/01,CRU,296.6
1997/06/01,CRU,182.1
1997/07/01,CRU,132.2
1997/08/01,CRU,9.1
1997/09/01,CRU,80.9
1997/10/01,CRU,120.5
1997/11/01,CRU,280.7
1997/12/01,CRU,202.7
1998/01/01,CRU,30.7
1998/02/01,CRU,132.9
1998/03/01,CRU,39.7
1998/04/01,CRU,324.5
1998/05/01,CRU,198.5
1998/06/01,CRU,184
1998/07/01,CRU,67.7
1998/08/01,CRU,23
1998/09/01,CRU,22.3
1998/10/01,CRU,10.8
1998/11/01,CRU,86.1
1998/12/01,CRU,13.2
1999/01/01,CRU,16.2
1999/02/01,CRU,2.3
1999/03/01,CRU,23.7
1999/04/01,CRU,239.6
1999/05/01,CRU,202.9
1999/06/01,CRU,155.5
1999/07/01,CRU,110.7
1999/08/01,CRU,90
1999/09/01,CRU,83.5
1999/10/01,CRU,19.7
1999/11/01,CRU,114.5
1999/12/01,CRU,32.8
1950/01/01,GPCC,8.9
1950/02/01,GPCC,4.75
1950/03/01,GPCC,20.58
1950/04/01,GPCC,51.42
1950/05/01,GPCC,160.66
1950/06/01,GPCC,63.71
1950/07/01,GPCC,106.58
1950/08/01,GPCC,25.77
1950/09/01,GPCC,17.94
1950/10/01,GPCC,0
1950/11/01,GPCC,60.06
1950/12/01,GPCC,36.94
1951/01/01,GPCC,11.04
1951/02/01,GPCC,6.43
1951/03/01,GPCC,39.67
1951/04/01,GPCC,126.29
1951/05/01,GPCC,465.36
1951/06/01,GPCC,100.52
1951/07/01,GPCC,87.89
1951/08/01,GPCC,29.72
1951/09/01,GPCC,21.61
1951/10/01,GPCC,184.69
1951/11/01,GPCC,109.61
1951/12/01,GPCC,121.67
1952/01/01,GPCC,14.33
1952/02/01,GPCC,9.23
1952/03/01,GPCC,26.06
1952/04/01,GPCC,20.72
1952/05/01,GPCC,81.36
1952/06/01,GPCC,71.09
1952/07/01,GPCC,0
1952/08/01,GPCC,3.65
1952/09/01,GPCC,70.17
1952/10/01,GPCC,0
1952/11/01,GPCC,46.94
1952/12/01,GPCC,70.16
1953/01/01,GPCC,36.44
1953/02/01,GPCC,8.2
1953/03/01,GPCC,60.78
1953/04/01,GPCC,211.7
1953/05/01,GPCC,197.34
1953/06/01,GPCC,0
1953/07/01,GPCC,44.92
1953/08/01,GPCC,48.88
1953/09/01,GPCC,44.71
1953/10/01,GPCC,61.49
1953/11/01,GPCC,45.49
1953/12/01,GPCC,60.62
1954/01/01,GPCC,10.36
1954/02/01,GPCC,12.06
1954/03/01,GPCC,11.37
1954/04/01,GPCC,76.07
1954/05/01,GPCC,87.02
1954/06/01,GPCC,0
1954/07/01,GPCC,7.27
1954/08/01,GPCC,54.25
1954/09/01,GPCC,1.21
1954/10/01,GPCC,0
1954/11/01,GPCC,22.79
1954/12/01,GPCC,44.17
1955/01/01,GPCC,18.04
1955/02/01,GPCC,16.27
1955/03/01,GPCC,41.17
1955/04/01,GPCC,74.14
1955/05/01,GPCC,321.22
1955/06/01,GPCC,139.01
1955/07/01,GPCC,34.17
1955/08/01,GPCC,0
1955/09/01,GPCC,0
1955/10/01,GPCC,0
1955/11/01,GPCC,36.01
1955/12/01,GPCC,74.98
1956/01/01,GPCC,108.74
1956/02/01,GPCC,18.99
1956/03/01,GPCC,29.9
1956/04/01,GPCC,39.5
1956/05/01,GPCC,51.3
1956/06/01,GPCC,67.87
1956/07/01,GPCC,10.73
1956/08/01,GPCC,0
1956/09/01,GPCC,12.57
1956/10/01,GPCC,7.81
1956/11/01,GPCC,77.99
1956/12/01,GPCC,64.36
1957/01/01,GPCC,67.99
1957/02/01,GPCC,4.65
1957/03/01,GPCC,32.79
1957/04/01,GPCC,81.42
1957/05/01,GPCC,151.71
1957/06/01,GPCC,44.2
1957/07/01,GPCC,12.55
1957/08/01,GPCC,22.35
1957/09/01,GPCC,56.56
